"Site_SPC_year","site","SPC_Rep","year","Observer","Lat","Lon","site_year","geographic","Acanthurus.blochii","Acanthurus.guttatus","Acanthurus.lineatus","Acanthurus.maculiceps","Acanthurus.nigricauda","Acanthurus.xanthopterus","Aphareus.furca","Caesio.caerulaurea","Calotomus.carolinus","Carangoides.ferdau","Carangoides.orthogrammus","Caranx.lugubris","Caranx.melampygus","Cephalopholis.argus","Cephalopholis.urodeta","Cheilinus.trilobatus","Cheilinus.undulatus","Chlorurus.bleekeri","Chlorurus.frontalis","Chlorurus.microrhinos","Chlorurus.sordidus","Ctenochaetus.striatus","Elagatis.bipinnulata","Epinephelus.hexagonatus","Epinephelus.howlandi","Epinephelus.spilotoceps","Hipposcarus.longiceps","Kyphosus.cinerascens","Kyphosus.vaigiensis","Lethrinus.harak","Lethrinus.olivaceus","Lethrinus.xanthochilus","Lutjanus.argentimaculatus","Lutjanus.bohar","Lutjanus.fulvus","Lutjanus.gibbus","Lutjanus.monostigma","Lutjanus.semicinctus","Macolor.macularis","Macolor.niger","Monotaxis.grandoculis","Mulloidichthys.vanicolensis","Myripristis.adusta","Myripristis.sp","Naso.lituratus","Naso.unicornis","Naso.vlamingii","Parupeneus.barberinus","Parupeneus.trifasciatus","Pempheris.oualensis","Sargocentron.tiere","Scarus.dimidiatus","Scarus.forsteni","Scarus.frenatus","Scarus.ghobban","Scarus.oviceps","Scarus.psittacus","Scarus.rivulatus","Scarus.rubroviolaceus","Selar.crumenophthalmus","Siganus.argenteus","Siganus.doliatus","Siganus.punctatus"
"KOS-03 2 2019","KOS-03",2,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.332034986571382,0,0,0,0,0,0,1.01439410456433,0.2248469810322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327736028632191,0,0,0,0,0,0,0,0.321482264308928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48357387746657,0,0
"KOS-03 3 2012","KOS-03",3,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0.360401471244411,0,0,0,0,0,0.249271289724278,0,0,0,0,0,0,0,0,0.153212952844585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 3 2015","KOS-03",3,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310234263108868,0.032473862800268,0,0,0,0,0.03760579597187,0.23670996070243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321482264308928,0,0.429222547252368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 3 2017","KOS-03",3,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784233132654928,0.677008835809701,0.53235449604872,0,0,0,0,0,0,0,0,0,4.04249443787251,0,0,0,0,0.18048404302526,0,0,0,0,0,0,0,0.321482264308928,0,0,0,0,0,0,0,0,0,0,0,0,0.305186127371645,0,0,0,0,0
"KOS-03 3 2019","KOS-03",3,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0.71646644576929,0,0,0,0.285403381050494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15042318388748,0.449693962064401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443981113086696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 4 2012","KOS-03",4,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0.190334630174203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462871648453313,0.318430189904979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893811202177198,0.39781406122347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 4 2015","KOS-03",4,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411820880231733,0.419232564388165,0,0,0,0,0,0,0,0,0,0,0,0,0.0662451017180552,0,0,0,0,0,0,0,0,0,0.109262481241869,0,0,0,0,0,0,0,0,0,0,0.196984758680899,0,0,0,0,0,0,0
"KOS-03 4 2017","KOS-03",4,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93012502157826,0.35316795932401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0168723716494,0,0,0,0,0,0,0,0,0,0,0.825045462952404,0.284113101596038,2.27627968546507,0,0,0,0,0
"KOS-03 4 2019","KOS-03",4,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506508913369612,0.2248469810322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205435137999467,0,0,0,0.854050275392634,0,0,0,0,0,0,0,0,0,0,0.164081842668616,0,0,0,0.399582815148456,0,0,0,0,0,0,0
"KOS-03 5 2012","KOS-03",5,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361516524553047,0.140226160904522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
